Tahun,NAMOBJ,WADMKK,luas_total_km2,vegetasi_km2,vegetasi_pct,tubuh_air_km2,tubuh_air_pct,lahan_terbangun_km2,lahan_terbangun_pct,lahan_terbuka_km2,lahan_terbuka_pct
2009,Ngemplak,Sleman,36.5789438,33.09667719,90.48013351,0.093149351,0.254652926,2.781111224,7.60303862,0.608006038,1.662174943
2009,Pajangan,Bantul,33.28796194,31.27671689,93.95804089,0.230333517,0.691942382,0.875766904,2.630881716,0.905144628,2.719135011
2009,Pakem,Sleman,46.01997161,42.95038025,93.32987124,0.200670601,0.436051118,1.107883806,2.407397847,1.761036956,3.826679796
2009,Pakualaman,Kota Yogyakarta,0.642731472,0.040144459,6.245914591,0.001764902,0.274593967,0.564266538,87.7919572,0.036555573,5.687534245
2009,Piyungan,Bantul,33.25755314,29.20364256,87.81055672,0.024254695,0.072929884,2.741020392,8.241798127,1.28863549,3.874715269
2009,Pleret,Bantul,24.19801929,20.93542175,86.51708844,0.072258194,0.298612018,2.549131504,10.53446348,0.641207842,2.649836063
2009,Sedayu,Bantul,34.18604421,31.64952237,92.58024176,0.251501214,0.735683872,1.547374591,4.526334144,0.737646027,2.157740224
2009,Sewon,Bantul,27.90038464,21.92075981,78.56794841,0.090244159,0.323451309,5.312667155,19.04155524,0.576713515,2.067045032
2009,Seyegan,Sleman,26.5335286,25.73625518,96.99522277,0.102544118,0.386469961,0.375245473,1.414231324,0.319483835,1.204075945
2009,Sleman,Sleman,31.25154716,29.27314286,93.66941967,0.022152834,0.070885559,1.366010997,4.371018786,0.590240466,1.888675983
2009,Tegalrejo,Kota Yogyakarta,2.970089006,0.626319882,21.08757954,0.013452725,0.452940144,2.140101892,72.05514339,0.190214507,6.404336919
2009,Turi,Sleman,40.46445647,40.23193305,99.42536379,0.005317681,0.01314161,0.150912557,0.372950906,0.07629318,0.188543691
2009,Umbulharjo,Kota Yogyakarta,8.226847278,2.044212565,24.8480675,0.063042367,0.766300436,5.750733634,69.90203463,0.368858713,4.483597429
2009,Wirobrajan,Kota Yogyakarta,1.740886123,0.269154633,15.4607834,0.001546018,0.088806378,1.361804794,78.22480607,0.108380679,6.225604151
2014,Banguntapan,Bantul,28.41951806,12.28419881,43.22451486,0.011515584,0.040519985,13.12458186,46.18157786,2.999221809,10.5533873
2014,Bantul,Bantul,21.80665708,12.27088087,56.27126075,0.094787062,0.434670299,7.570018271,34.71425374,1.87097088,8.579815204
2014,Berbah,Sleman,25.04620459,16.33237856,65.20899603,0.006701666,0.026757211,6.828858444,27.26504297,1.878265924,7.49920379
