NAMOBJ,WADMKK,min,max,mean,Tahun,Zona
Sleman,Sleman,0.028882221,0.869523087,0.597932783,2024,Rural
Tegalrejo,Kota Yogyakarta,0.037528324,0.804927919,0.342628906,2024,Urban
Turi,Sleman,0.111433792,0.92093644,0.752283371,2024,Rural
Umbulharjo,Kota Yogyakarta,0.011011672,0.825709147,0.358128431,2024,Urban
Wirobrajan,Kota Yogyakarta,0.074691927,0.790819842,0.32874001,2024,Urban
Banguntapan,Bantul,-0.230128914,0.415707499,0.074364339,2029,Urban
Bantul,Bantul,-0.209222436,0.417306662,0.139521025,2029,Rural
Berbah,Sleman,-0.203678355,0.42506671,0.163463098,2029,Rural
Cangkringan,Sleman,-0.183681727,0.471324682,0.267196735,2029,Rural
Danurejan,Kota Yogyakarta,-0.198325083,0.1853607,-0.093109546,2029,Urban
Depok,Sleman,-0.217599765,0.421384275,0.022223346,2029,Urban
Gamping,Sleman,-0.206452817,0.439705014,0.1070238,2029,Urban
Gedongtengen,Kota Yogyakarta,-0.200370997,0.158903807,-0.093905619,2029,Urban
Godean,Sleman,-0.196992651,0.422230274,0.137340642,2029,Urban
Gondokusuman,Kota Yogyakarta,-0.215155318,0.31724304,-0.067040634,2029,Urban
Gondomanan,Kota Yogyakarta,-0.200229481,0.200316489,-0.078552188,2029,Urban
Jetis,Bantul,-0.184750378,0.431592524,0.161428692,2029,Rural
Jetis,Kota Yogyakarta,-0.195666611,0.166378498,-0.081874131,2029,Urban
Kalasan,Sleman,-0.2012472,0.440224528,0.147260556,2029,Rural
Kasihan,Bantul,-0.205460623,0.440916628,0.107680876,2029,Urban
Kotagede,Kota Yogyakarta,-0.212785438,0.419620216,-0.055171315,2029,Urban
Kraton,Kota Yogyakarta,-0.192502692,0.199912906,-0.084513581,2029,Urban
Mantrijeron,Kota Yogyakarta,-0.203451812,0.365097255,-0.068312998,2029,Urban
Mergangsan,Kota Yogyakarta,-0.196814984,0.311048746,-0.079361375,2029,Urban
Minggir,Sleman,-0.193009809,0.438485563,0.218989913,2029,Rural
Mlati,Sleman,-0.214702666,0.403579921,0.09039411,2029,Urban
Moyudan,Sleman,-0.156505793,0.431431651,0.206444936,2029,Rural
Ngaglik,Sleman,-0.214563549,0.396950513,0.106321349,2029,Urban
Ngampilan,Kota Yogyakarta,-0.198840395,0.176835135,-0.105846488,2029,Urban
Ngemplak,Sleman,-0.192297623,0.401513696,0.166835882,2029,Urban
Pajangan,Bantul,-0.205801994,0.449180841,0.19691663,2029,Rural
Pakem,Sleman,-0.215844914,0.476819098,0.240288406,2029,Rural
Pakualaman,Kota Yogyakarta,-0.196597397,0.19121173,-0.095500196,2029,Urban
Piyungan,Bantul,-0.206719235,0.459735125,0.198627967,2029,Rural
Pleret,Bantul,-0.193947613,0.462908983,0.180336038,2029,Rural
Sedayu,Bantul,-0.213822678,0.439665765,0.209590496,2029,Rural
Sewon,Bantul,-0.207782537,0.413942277,0.109640818,2029,Urban
Seyegan,Sleman,-0.190942034,0.421528608,0.170339659,2029,Rural
Sleman,Sleman,-0.227982432,0.442581117,0.153010757,2029,Rural
Tegalrejo,Kota Yogyakarta,-0.199777678,0.325321108,-0.058040837,2029,Urban
Turi,Sleman,-0.148074597,0.429676652,0.273620647,2029,Rural
Umbulharjo,Kota Yogyakarta,-0.200794175,0.414837211,-0.04202914,2029,Urban
Wirobrajan,Kota Yogyakarta,-0.19646579,0.332303703,-0.077590054,2029,Urban
