NAMOBJ,WADMKK,min,max,mean,Tahun,Zona
Ngampilan,Kota Yogyakarta,-0.259885785,0.370977928,-0.103010407,2024,Urban
Ngemplak,Sleman,-0.287054789,0.481455396,0.183972854,2024,Urban
Pajangan,Bantul,-0.294356422,0.603860849,0.184519244,2024,Rural
Pakem,Sleman,-0.636836499,0.594983957,0.244923493,2024,Rural
Pakualaman,Kota Yogyakarta,-0.242750632,0.24783093,-0.092828658,2024,Urban
Piyungan,Bantul,-0.281198333,0.481957938,0.181363181,2024,Rural
Pleret,Bantul,-0.314218163,0.508147777,0.165623532,2024,Rural
Sedayu,Bantul,-0.248120301,0.519357226,0.209743683,2024,Rural
Sewon,Bantul,-0.275939185,0.516186131,0.121769999,2024,Urban
Seyegan,Sleman,-0.268026058,0.433771486,0.179514587,2024,Rural
Sleman,Sleman,-0.2827847,0.48066395,0.16344807,2024,Rural
Tegalrejo,Kota Yogyakarta,-0.265800719,0.374247207,-0.048566211,2024,Urban
Turi,Sleman,-0.178852663,0.482566852,0.275001481,2024,Rural
Umbulharjo,Kota Yogyakarta,-0.343472242,0.45528007,-0.03115212,2024,Urban
Wirobrajan,Kota Yogyakarta,-0.263374788,0.370977928,-0.071722831,2024,Urban
