NAMOBJ,WADMKK,min,max,mean,Tahun,Zona
Piyungan,Bantul,31.2955849,50.52065052,37.71078718,2024,Rural
Pleret,Bantul,31.09765079,46.48530427,38.48518938,2024,Rural
Sedayu,Bantul,31.71763372,45.45486851,37.03454138,2024,Rural
Sewon,Bantul,33.4084344,48.3180898,39.53974338,2024,Urban
Seyegan,Sleman,30.75078671,42.12574884,36.06198114,2024,Rural
Sleman,Sleman,30.30055302,45.47860812,36.21805158,2024,Rural
Tegalrejo,Kota Yogyakarta,37.99291873,47.14133736,42.57849326,2024,Urban
Turi,Sleman,24.56244917,42.2293048,32.0237594,2024,Rural
Umbulharjo,Kota Yogyakarta,34.92919552,48.26364431,43.70306266,2024,Urban
Wirobrajan,Kota Yogyakarta,39.00399788,46.56274399,43.4403993,2024,Urban
Banguntapan,Bantul,34.92073441,48.32945633,42.11154003,2029,Urban
Bantul,Bantul,36.05464935,47.83084869,41.13242678,2029,Rural
Berbah,Sleman,34.05057526,48.19382095,39.61269914,2029,Rural
Cangkringan,Sleman,22.34712791,43.81319046,31.08215172,2029,Rural
Danurejan,Kota Yogyakarta,41.38983536,47.51856232,45.09096675,2029,Urban
Depok,Sleman,34.71773148,49.14513779,43.00478753,2029,Urban
Gamping,Sleman,32.72320557,49.09553528,41.08660182,2029,Urban
Gedongtengen,Kota Yogyakarta,43.22792435,48.40950775,46.01950052,2029,Urban
Godean,Sleman,32.49277115,47.76197433,38.80799105,2029,Urban
Gondokusuman,Kota Yogyakarta,41.38983536,48.61848068,46.70562899,2029,Urban
Gondomanan,Kota Yogyakarta,43.07095718,51.58407974,45.77116815,2029,Urban
Jetis,Bantul,35.15718079,48.24087524,40.31986082,2029,Rural
Jetis,Kota Yogyakarta,41.41621399,47.81306076,44.63026288,2029,Urban
Kalasan,Sleman,32.78881073,47.01330948,39.13688248,2029,Rural
Kasihan,Bantul,33.03791809,49.45272827,40.81003524,2029,Urban
Kotagede,Kota Yogyakarta,36.35706329,47.9956131,45.63353746,2029,Urban
Kraton,Kota Yogyakarta,42.5216217,51.6746788,47.46896423,2029,Urban
Mantrijeron,Kota Yogyakarta,40.37005615,49.93746948,44.81126794,2029,Urban
Mergangsan,Kota Yogyakarta,39.65973663,47.91853714,46.25627854,2029,Urban
Minggir,Sleman,31.80442429,45.00574875,36.70047568,2029,Rural
Mlati,Sleman,33.79805374,47.11447906,39.86579793,2029,Urban
Moyudan,Sleman,30.75320244,47.56928635,37.58783412,2029,Rural
Ngaglik,Sleman,33.02199936,46.74017715,38.67124714,2029,Urban
Ngampilan,Kota Yogyakarta,42.33745575,47.54764938,45.32072322,2029,Urban
Ngemplak,Sleman,32.28715515,46.23056793,37.51275464,2029,Urban
Pajangan,Bantul,32.83924484,48.16986847,39.05237277,2029,Rural
Pakem,Sleman,22.02842712,44.22433853,32.3526298,2029,Rural
Pakualaman,Kota Yogyakarta,43.92840576,47.9185524,46.52595426,2029,Urban
Piyungan,Bantul,32.02416611,49.07011032,38.25256336,2029,Rural
Pleret,Bantul,32.14445114,47.48421478,39.48299629,2029,Rural
Sedayu,Bantul,32.66918182,49.81050491,38.96277365,2029,Rural
Sewon,Bantul,35.24609756,48.44608307,41.0010816,2029,Urban
Seyegan,Sleman,31.91036224,44.10811615,37.19963787,2029,Rural
Sleman,Sleman,31.53695297,45.63307571,36.95856213,2029,Rural
Tegalrejo,Kota Yogyakarta,40.23407745,48.90831375,44.37722461,2029,Urban
Turi,Sleman,25.07398033,42.79124832,33.1501698,2029,Rural
Umbulharjo,Kota Yogyakarta,36.35706329,47.89428329,45.30240885,2029,Urban
Wirobrajan,Kota Yogyakarta,40.48747253,48.40424728,45.02202383,2029,Urban
